year,site,colony,track,sample,calc,extension,density,hdbands,partmort,height,diameter
2010,sad,sad12,t1,sad12_t1,1.61,1.226,1.313274031,0,0,9,16
2009,sad,sad12,t1,sad12_t1,0.616,0.3835,1.606029775,0,0,9,16
2008,sad,sad12,t1,sad12_t1,0.931,0.5802,1.605085555,0,0,9,16
2007,sad,sad12,t1,sad12_t1,1.057,0.5953,1.776186119,0,0,9,16
2006,sad,sad12,t1,sad12_t1,0.649,0.3784,1.715055577,0,0,9,16
2005,sad,sad12,t1,sad12_t1,0.547,0.3532,1.549836736,1,1,9,16
2004,sad,sad12,t1,sad12_t1,0.487,0.3431,1.419295832,0,0,9,16
2003,sad,sad12,t1,sad12_t1,0.574,0.4338,1.323734219,0,0,9,16
2002,sad,sad12,t1,sad12_t1,0.677,0.4238,1.598610949,0,0,9,16
2001,sad,sad12,t1,sad12_t1,1.175,0.6862,1.712785376,0,0,9,16
2000,sad,sad12,t1,sad12_t1,1.079,0.5449,1.979956341,0,0,9,16
2013,sad,sad13,t1,sad13_t1,0.315,0.2472,1.274744461,0,0,5,15
2012,sad,sad13,t1,sad13_t1,0.421,0.3128,1.347159567,0,0,5,15
2011,sad,sad13,t1,sad13_t1,0.394,0.2523,1.560656117,0,0,5,15
2010,sad,sad13,t1,sad13_t1,0.509,0.3229,1.5766207,0,0,5,15
2009,sad,sad13,t1,sad13_t1,0.468,0.3027,1.545434448,0,0,5,15
2008,sad,sad13,t1,sad13_t1,0.493,0.3633,1.357465254,0,0,5,15
2007,sad,sad13,t1,sad13_t1,0.483,0.3733,1.293870508,0,0,5,15
2006,sad,sad13,t1,sad13_t1,0.621,0.5045,1.231293412,0,0,5,15
2005,sad,sad13,t1,sad13_t1,0.64,0.5348,1.196879549,0,0,5,15
2004,sad,sad13,t1,sad13_t1,0.532,0.3986,1.335762411,0,0,5,15
2003,sad,sad13,t1,sad13_t1,0.337,0.2321,1.453714013,0,0,5,15
2013,sad,sad14,t1,sad14_t1,0.591,0.3834,1.541478037,0,0,4,14
2012,sad,sad14,t1,sad14_t1,0.701,0.5449,1.286285878,0,0,4,14
2011,sad,sad14,t1,sad14_t1,0.935,0.7871,1.188103551,0,0,4,14
2013,sad,sad15,t1,sad15_t1,0.571,0.345,1.654382508,0,0,14,22
2012,sad,sad15,t1,sad15_t1,0.627,0.43,1.45835893,0,0,14,22
2011,sad,sad15,t1,sad15_t1,1.151,0.825,1.395552797,0,0,14,22
2010,sad,sad15,t1,sad15_t1,0.795,0.63,1.261804271,0,0,14,22
2009,sad,sad15,t1,sad15_t1,1.126,0.885,1.272848824,0,0,14,22
2008,sad,sad15,t1,sad15_t1,1.029,0.855,1.203071164,0,0,14,22
2007,sad,sad15,t1,sad15_t1,0.92,0.805,1.142432948,0,0,14,22
2006,sad,sad15,t1,sad15_t1,1.044,0.925,1.128362404,0,0,14,22
2005,sad,sad15,t1,sad15_t1,1.159,1.07,1.083627762,0,0,14,22
2004,sad,sad15,t1,sad15_t1,0.877,0.725,1.208976671,0,0,14,22
2003,sad,sad15,t1,sad15_t1,0.857,0.615,1.393348524,1,0,14,22
2002,sad,sad15,t1,sad15_t1,0.639,0.365,1.751769477,1,0,14,22
2001,sad,sad15,t1,sad15_t1,1.672,1.1,1.519766557,0,0,14,22
2000,sad,sad15,t1,sad15_t1,0.799,0.53,1.506906139,0,0,14,22
1999,sad,sad15,t1,sad15_t1,0.997,0.665,1.498887677,0,0,14,22
1998,sad,sad15,t1,sad15_t1,1.065,0.655,1.626445081,0,0,14,22
1997,sad,sad15,t1,sad15_t1,1.547,0.81,1.909318786,0,0,14,22
2013,sad,sad22,t1,sad22_t1,1.063,0.7265,1.462623376,0,0,7,15
2012,sad,sad22,t1,sad22_t1,1.138,0.6206,1.834188731,1,0,7,15
2011,sad,sad22,t1,sad22_t1,0.943,0.5146,1.832057144,1,0,7,15
2010,sad,sad22,t1,sad22_t1,0.67,0.4137,1.620452397,0,0,7,15
2009,sad,sad22,t1,sad22_t1,0.976,0.5852,1.667172788,0,0,7,15
