,date,date1,yearday,Year,month,season,Site,MA,raw,year,raw_min,raw_max,normday
135,1986MAR28,28/3/86,87,1986,MAR,spring,Delma,22.05792913,22.2,1986,1,0,45
136,1986MAR29,29/3/86,88,1986,MAR,spring,Delma,22.16553858,22.12,1986,1,0,46
137,1986MAR30,30/3/86,89,1986,MAR,spring,Delma,22.2148001,22.12,1986,1,0,47
138,1986MAR31,31/3/86,90,1986,MAR,spring,Delma,22.19216009,21.84,1986,1,0,48
139,1986APR01,1/4/86,91,1986,APR,spring,Delma,22.29520541,22.17,1986,1,0,49
140,1986APR02,2/4/86,92,1986,APR,spring,Delma,22.57984469,22.92,1986,1,0,50
141,1986APR03,3/4/86,93,1986,APR,spring,Delma,22.70919873,22.66,1986,1,0,51
142,1986APR04,4/4/86,94,1986,APR,spring,Delma,22.8186389,22.77,1986,1,0,52
143,1986APR05,5/4/86,95,1986,APR,spring,Delma,22.97615371,23.08,1986,1,0,53
144,1986APR06,6/4/86,96,1986,APR,spring,Delma,23.22999988,23.5,1986,1,0,54
145,1986APR07,7/4/86,97,1986,APR,spring,Delma,23.4659999,23.49,1986,1,0,55
146,1986APR08,8/4/86,98,1986,APR,spring,Delma,23.69119991,23.58,1986,1,0,56
147,1986APR09,9/4/86,99,1986,APR,spring,Delma,23.82237326,23.61,1986,1,0,57
148,1986APR10,10/4/86,100,1986,APR,spring,Delma,23.91939016,23.67,1986,1,0,58
149,1986APR11,11/4/86,101,1986,APR,spring,Delma,23.9468048,23.42,1986,1,0,59
150,1986APR12,12/4/86,102,1986,APR,spring,Delma,23.9878975,23.59,1986,1,0,60
151,1986APR13,13/4/86,103,1986,APR,spring,Delma,23.96951116,23.57,1986,1,0,61
152,1986APR14,14/4/86,104,1986,APR,spring,Delma,23.95824301,23.69,1986,1,0,62
153,1986APR15,15/4/86,105,1986,APR,spring,Delma,24.05247727,24.1,1986,1,0,63
154,1986APR16,16/4/86,106,1986,APR,spring,Delma,24.12614697,24.1,1986,1,0,64
155,1986APR17,17/4/86,107,1986,APR,spring,Delma,24.39199404,24.88,1986,1,0,65
156,1986APR18,18/4/86,108,1986,APR,spring,Delma,24.80039484,25.5,1986,1,0,66
157,1986APR19,19/4/86,109,1986,APR,spring,Delma,25.15967552,25.5,1986,1,0,67
158,1986APR20,20/4/86,110,1986,APR,spring,Delma,25.42905212,25.38,1986,1,0,68
159,1986APR21,21/4/86,111,1986,APR,spring,Delma,25.7011785,25.55,1986,1,0,69
160,1986APR22,22/4/86,112,1986,APR,spring,Delma,25.95768804,25.76,1986,1,0,70
161,1986APR23,23/4/86,113,1986,APR,spring,Delma,26.0539963,25.39,1986,1,0,71
162,1986APR24,24/4/86,114,1986,APR,spring,Delma,26.07479679,25.35,1986,1,0,72
163,1986APR25,25/4/86,115,1986,APR,spring,Delma,25.94615722,25.15,1986,1,0,73
164,1986APR26,26/4/86,116,1986,APR,spring,Delma,25.79333626,25.15,1986,1,0,74
165,1986APR27,27/4/86,117,1986,APR,spring,Delma,25.64222476,25.05,1986,1,0,75
166,1986APR28,28/4/86,118,1986,APR,spring,Delma,25.48926146,24.98,1986,1,0,76
167,1986APR29,29/4/86,119,1986,APR,spring,Delma,25.46202659,25.47,1986,1,0,77
168,1986APR30,30/4/86,120,1986,APR,spring,Delma,25.53708972,25.8,1986,1,0,78
169,1986MAY01,1/5/86,121,1986,MAY,spring,Delma,25.74147775,26.22,1986,1,0,79
170,1986MAY02,2/5/86,122,1986,MAY,spring,Delma,26.10261405,26.85,1986,1,0,80
171,1986MAY03,3/5/86,123,1986,MAY,spring,Delma,26.45826551,26.96,1986,1,0,81
172,1986MAY04,4/5/86,124,1986,MAY,spring,Delma,26.71449678,26.74,1986,1,0,82
173,1986MAY05,5/5/86,125,1986,MAY,spring,Delma,26.88656387,26.51,1986,1,0,83
174,1986MAY06,6/5/86,126,1986,MAY,spring,Delma,26.96502202,26.35,1986,1,0,84
175,1986MAY07,7/5/86,127,1986,MAY,spring,Delma,26.92235242,26.14,1986,1,0,85
176,1986MAY08,8/5/86,128,1986,MAY,spring,Delma,26.98470543,26.7,1986,1,0,86
177,1986MAY09,9/5/86,129,1986,MAY,spring,Delma,26.99007804,26.78,1986,1,0,87
178,1986MAY10,10/5/86,130,1986,MAY,spring,Delma,26.91606764,26.67,1986,1,0,88
179,1986MAY11,11/5/86,131,1986,MAY,spring,Delma,27.04859195,27.38,1986,1,0,89
180,1986MAY12,12/5/86,132,1986,MAY,spring,Delma,27.31077969,27.82,1986,1,0,90
181,1987JAN09,9/1/87,9,1987,JAN,winter,Delma,19.26804655,19.27,1987,1,0,1
182,1987JAN10,10/1/87,10,1987,JAN,winter,Delma,19.23964035,19.85,1987,1,0,2
183,1987JAN11,11/1/87,11,1987,JAN,winter,Delma,19.2616883,20.06,1987,1,0,3
184,1987JAN12,12/1/87,12,1987,JAN,winter,Delma,19.45012986,20.68,1987,1,0,4
185,1987JAN13,13/1/87,13,1987,JAN,winter,Delma,19.64344588,20.71,1987,1,0,5
186,1987JAN14,14/1/87,14,1987,JAN,winter,Delma,19.78631976,20.41,1987,1,0,6
187,1987JAN15,15/1/87,15,1987,JAN,winter,Delma,19.98014379,20.45,1987,1,0,7
188,1987JAN16,16/1/87,16,1987,JAN,winter,Delma,20.22745795,20.59,1987,1,0,8
