Date,date1,SST,SST_Anomaly,HotSpot,DHW
2013-Apr-01,1/4/13,24.929,1.558,0,0
2013-Apr-02,2/4/13,24.955,1.479,0,0
2013-Apr-03,3/4/13,24.534,0.952,0,0
2013-Apr-04,4/4/13,25.328,1.641,0,0
2013-Apr-05,5/4/13,25.148,1.356,0,0
2013-Apr-06,6/4/13,24.542,0.644,0,0
2013-Apr-07,7/4/13,24.943,0.94,0,0
2013-Apr-08,8/4/13,25.145,1.036,0,0
2013-Apr-09,9/4/13,25.641,1.427,0,0
2013-Apr-10,10/4/13,25.811,1.492,0,0
2013-Apr-11,11/4/13,25.475,1.051,0,0
2013-Apr-12,12/4/13,25.324,0.794,0,0
2013-Apr-13,13/4/13,25.506,0.871,0,0
2013-Apr-14,14/4/13,26.726,1.985,0,0
2013-Apr-15,15/4/13,27.09,2.245,0,0
2013-Apr-16,16/4/13,27.819,2.835,0,0
2013-Apr-17,17/4/13,28.148,3.025,0,0
2013-Apr-18,18/4/13,28.409,3.149,0,0
2013-Apr-19,19/4/13,28.19,2.791,0,0
2013-Apr-20,20/4/13,28.987,3.449,0,0
2013-Apr-21,21/4/13,28.147,2.471,0,0
2013-Apr-22,22/4/13,27.266,1.452,0,0
2013-Apr-23,23/4/13,26.907,0.955,0,0
2013-Apr-24,24/4/13,26.75,0.66,0,0
2013-Apr-25,25/4/13,26.837,0.608,0,0
2013-Apr-26,26/4/13,26.278,-0.09,0,0
2013-Apr-27,27/4/13,26.63,0.124,0,0
2013-Apr-28,28/4/13,26.368,-0.276,0,0
2013-Apr-29,29/4/13,26.436,-0.346,0,0
2013-Apr-30,30/4/13,27.014,0.093,0,0
2013-May-01,1/5/13,26.839,-0.22,0,0
2013-May-02,2/5/13,26.93,-0.268,0,0
2013-May-03,3/5/13,27.313,-0.022,0,0
2013-May-04,4/5/13,27.436,-0.037,0,0
2013-May-05,5/5/13,27.771,0.159,0,0
2013-May-06,6/5/13,27.413,-0.338,0,0
2013-May-07,7/5/13,27.249,-0.64,0,0
2013-May-08,8/5/13,27.605,-0.422,0,0
2013-May-09,9/5/13,27.301,-0.864,0,0
2013-May-10,10/5/13,27.996,-0.308,0,0
2013-May-11,11/5/13,28.067,-0.375,0,0
2013-May-12,12/5/13,28.13,-0.45,0,0
2013-May-13,13/5/13,28.385,-0.333,0,0
2013-May-14,14/5/13,28.589,-0.268,0,0
2013-May-15,15/5/13,28.756,-0.239,0,0
2013-May-16,16/5/13,29.143,0.072,0,0
2013-May-17,17/5/13,29.049,-0.097,0,0
2013-May-18,18/5/13,28.875,-0.347,0,0
2013-May-19,19/5/13,28.864,-0.434,0,0
2013-May-20,20/5/13,29.02,-0.354,0,0
2013-May-21,21/5/13,28.598,-0.852,0,0
2013-May-22,22/5/13,28.961,-0.564,0,0
2013-May-23,23/5/13,29.287,-0.314,0,0
2013-May-24,24/5/13,29.506,-0.171,0,0
2013-May-25,25/5/13,29.398,-0.355,0,0
2013-May-26,26/5/13,29.684,-0.144,0,0
2013-May-27,27/5/13,29.714,-0.189,0,0
2013-May-28,28/5/13,30.362,0.383,0,0
2013-May-29,29/5/13,30.211,0.156,0,0
2013-May-30,30/5/13,29.767,-0.364,0,0
2013-May-31,31/5/13,29.39,-0.816,0,0
2013-Jun-01,1/6/13,30.018,-0.264,0,0
2013-Jun-02,2/6/13,29.273,-1.085,0,0
2013-Jun-03,3/6/13,30.117,-0.317,0,0
2013-Jun-04,4/6/13,31.185,0.675,0,0
2013-Jun-05,5/6/13,31.129,0.544,0,0
2013-Jun-06,6/6/13,32.211,1.55,0,0
2013-Jun-07,7/6/13,31.353,0.616,0,0
2013-Jun-08,8/6/13,31.07,0.257,0,0
2013-Jun-09,9/6/13,30.391,-0.497,0,0
2013-Jun-10,10/6/13,30.352,-0.612,0,0
2013-Jun-11,11/6/13,30.739,-0.301,0,0
2013-Jun-12,12/6/13,29.997,-1.118,0,0
2013-Jun-13,13/6/13,30.033,-1.158,0,0
2013-Jun-14,14/6/13,29.824,-1.442,0,0
2013-Jun-15,15/6/13,29.521,-1.822,0,0
2013-Jun-16,16/6/13,30.585,-0.784,0,0
2013-Jun-17,17/6/13,31.204,-0.191,0,0
2013-Jun-18,18/6/13,30.729,-0.692,0,0
2013-Jun-19,19/6/13,30.687,-0.76,0,0
2013-Jun-20,20/6/13,31.203,-0.27,0,0
2013-Jun-21,21/6/13,31.542,0.043,0,0
2013-Jun-22,22/6/13,31.609,0.083,0,0
2013-Jun-23,23/6/13,31.869,0.317,0,0
2013-Jun-24,24/6/13,31.588,0.01,0,0
2013-Jun-25,25/6/13,31.234,-0.37,0,0
2013-Jun-26,26/6/13,31.621,-0.01,0,0
2013-Jun-27,27/6/13,32.563,0.906,0.005,0
2013-Jun-28,28/6/13,32.778,1.095,0.22,0
2013-Jun-29,29/6/13,31.684,-0.025,0,0
2013-Jun-30,30/6/13,31.493,-0.242,0,0
2013-Jul-01,1/7/13,31.547,-0.215,0,0
2013-Jul-02,2/7/13,32.484,0.696,0,0
2013-Jul-03,3/7/13,32.736,0.923,0.178,0
2013-Jul-04,4/7/13,32.296,0.456,0,0
2013-Jul-05,5/7/13,32.375,0.509,0,0
2013-Jul-06,6/7/13,31.925,0.033,0,0
2013-Jul-07,7/7/13,33.029,1.111,0.471,0
2013-Jul-08,8/7/13,33.315,1.371,0.757,0
2013-Jul-09,9/7/13,31.472,-0.498,0,0
2013-Jul-10,10/7/13,33.088,1.091,0.53,0
2013-Jul-11,11/7/13,33.233,1.211,0.675,0
2013-Jul-12,12/7/13,32.999,0.95,0.441,0
2013-Jul-13,13/7/13,32.813,0.737,0.255,0
2013-Jul-14,14/7/13,32.315,0.213,0,0
2013-Jul-15,15/7/13,32.845,0.717,0.287,0
2013-Jul-16,16/7/13,32.763,0.622,0.205,0
2013-Jul-17,17/7/13,33.004,0.849,0.446,0
2013-Jul-18,18/7/13,33.193,1.024,0.635,0
2013-Jul-19,19/7/13,33.296,1.113,0.738,0
2013-Jul-20,20/7/13,32.734,0.537,0.176,0
2013-Jul-21,21/7/13,32.986,0.775,0.428,0
2013-Jul-22,22/7/13,32.811,0.587,0.253,0
2013-Jul-23,23/7/13,32.754,0.515,0.196,0
2013-Jul-24,24/7/13,32.467,0.215,0,0
2013-Jul-25,25/7/13,32.779,0.513,0.221,0
2013-Jul-26,26/7/13,33.433,1.153,0.875,0
2013-Jul-27,27/7/13,32.849,0.555,0.291,0
