distance,t1,t2,date,date1,sst,sstanom,hotspot,dhw
1.1049,0.981628067,0.866558154,2014-Feb-09,9/2/14,21.85,-0.856,0,0
1.11,0.965518636,0.870186163,2014-Feb-08,8/2/14,21.846,-0.898,0,0
1.115,0.950206702,0.871274437,2014-Feb-07,7/2/14,22.183,-0.598,0,0
1.12,0.934766987,0.870514235,2014-Feb-06,6/2/14,22.43,-0.388,0,0
1.1251,0.92641573,0.868892319,2014-Feb-05,5/2/14,22.665,-0.191,0,0
1.1301,0.921734792,0.87043205,2014-Feb-04,4/2/14,21.951,-0.942,0,0
1.1352,0.922333461,0.873014638,2014-Feb-03,3/2/14,22.746,-0.184,0,0
1.1402,0.929744477,0.875650424,2014-Feb-02,2/2/14,22.633,-0.335,0,0
1.1453,0.935743081,0.881469251,2014-Feb-01,1/2/14,23.103,0.099,0,0
1.1503,0.938918736,0.886380356,2014-Jan-31,31/1/14,23.033,-0.009,0,0
1.1554,0.94468932,0.889666172,2014-Jan-30,30/1/14,22.593,-0.487,0,0
1.1604,0.943644793,0.887097461,2014-Jan-29,29/1/14,23.207,0.091,0,0
1.1655,0.938082981,0.884221647,2014-Jan-28,28/1/14,23.034,-0.12,0,0
1.1705,0.933151372,0.880333965,2014-Jan-27,27/1/14,23.078,-0.113,0,0
1.1755,0.928302134,0.876998251,2014-Jan-26,26/1/14,22.597,-0.632,0,0
1.1806,0.923394812,0.873313707,2014-Jan-25,25/1/14,23.407,0.142,0,0
1.1856,0.918940668,0.871644129,2014-Jan-24,24/1/14,22.933,-0.37,0,0
1.1907,0.916032389,0.870883381,2014-Jan-23,23/1/14,22.87,-0.471,0,0
1.1957,0.915491442,0.872671219,2014-Jan-22,22/1/14,22.901,-0.477,0,0
1.2008,0.914329127,0.874692853,2014-Jan-21,21/1/14,22.496,-0.919,0,0
1.2058,0.913022123,0.872623915,2014-Jan-20,20/1/14,22.769,-0.683,0,0
1.2109,0.91145558,0.873058047,2014-Jan-19,19/1/14,22.663,-0.826,0,0
1.2159,0.914732618,0.875412025,2014-Jan-18,18/1/14,22.682,-0.844,0,0
1.2209,0.917906327,0.878852356,2014-Jan-17,17/1/14,22.66,-0.904,0,0
1.226,0.921303323,0.881987685,2014-Jan-16,16/1/14,22.896,-0.705,0,0
1.231,0.92403328,0.886362307,2014-Jan-15,15/1/14,23.304,-0.334,0,0
1.2361,0.926787479,0.892749467,2014-Jan-14,14/1/14,23.227,-0.462,0,0
1.2411,0.931821064,0.897722066,2014-Jan-13,13/1/14,22.978,-0.761,0,0
1.2462,0.932764134,0.900639805,2014-Jan-12,12/1/14,23.215,-0.575,0,0
1.2512,0.937089037,0.897718838,2014-Jan-11,11/1/14,22.567,-1.273,0,0
1.2563,0.943170203,0.897790821,2014-Jan-10,10/1/14,23.009,-0.883,0,0
1.2613,0.947270026,0.897949111,2014-Jan-09,9/1/14,23.482,-0.461,0,0
1.2664,0.948885226,0.901415268,2014-Jan-08,8/1/14,23.331,-0.662,0,0
1.2714,0.947655921,0.904266303,2014-Jan-07,7/1/14,23.581,-0.462,0,0
1.2764,0.946074898,0.906319453,2014-Jan-06,6/1/14,23.808,-0.286,0,0
1.2815,0.944354587,0.909207391,2014-Jan-05,5/1/14,24.277,0.132,0,0
1.2865,0.941068475,0.911416352,2014-Jan-04,4/1/14,23.997,-0.199,0,0
1.2916,0.937018705,0.914973789,2014-Jan-03,3/1/14,23.713,-0.533,0,0
1.2966,0.935010531,0.920689215,2014-Jan-02,2/1/14,23.434,-0.863,0,0
1.3017,0.934537593,0.927726974,2014-Jan-01,1/1/14,23.828,-0.519,0,0
1.3067,0.932338992,0.932668531,2013-Dec-31,31/12/13,23.912,-0.486,0,0
1.3118,0.930460331,0.937056978,2013-Dec-30,30/12/13,23.87,-0.578,0,0
1.3168,0.928114112,0.942500079,2013-Dec-29,29/12/13,23.874,-0.625,0,0
1.3219,0.922022,0.949342384,2013-Dec-28,28/12/13,24.276,-0.274,0,0
1.3269,0.915280659,0.959041852,2013-Dec-27,27/12/13,24.464,-0.137,0,0
1.3319,0.909929383,0.965850078,2013-Dec-26,26/12/13,24.336,-0.314,0,0
1.337,0.90362785,0.968513403,2013-Dec-25,25/12/13,24.251,-0.451,0,0
1.342,0.897145247,0.968318922,2013-Dec-24,24/12/13,24.252,-0.5,0,0
1.3471,0.891305971,0.965242228,2013-Dec-23,23/12/13,24.261,-0.542,0,0
1.3521,0.884762515,0.959485462,2013-Dec-22,22/12/13,24.179,-0.675,0,0
1.3572,0.880457425,0.951416426,2013-Dec-21,21/12/13,24.469,-0.435,0,0
1.3622,0.87773812,0.946481447,2013-Dec-20,20/12/13,24.306,-0.648,0,0
1.3673,0.875979843,0.945858493,2013-Dec-19,19/12/13,24.609,-0.397,0,0
1.3723,0.875779524,0.946610464,2013-Dec-18,18/12/13,24.892,-0.164,0,0
1.3774,0.876671932,0.948578973,2013-Dec-17,17/12/13,25.279,0.173,0,0
1.3824,0.885575383,0.951328449,2013-Dec-16,16/12/13,25.443,0.286,0,0
1.3874,0.892481917,0.960279982,2013-Dec-15,15/12/13,25.339,0.132,0,0
1.3925,0.896040973,0.970855955,2013-Dec-14,14/12/13,25.656,0.369,0,0
1.3975,0.8991273,0.984076327,2013-Dec-13,13/12/13,25.299,-0.068,0,0
1.4026,0.904032939,0.995864987,2013-Dec-12,12/12/13,25.203,-0.242,0,0
1.4076,0.910185097,1.005492008,2013-Dec-11,11/12/13,25.088,-0.436,0,0
1.4127,0.915406306,1.015682631,2013-Dec-10,10/12/13,25.62,0.016,0,0
1.4177,0.921953838,1.02689268,2013-Dec-09,9/12/13,26.007,0.324,0,0
1.4228,0.929949192,1.037372819,2013-Dec-08,8/12/13,25.886,0.123,0,0
1.4278,0.938286658,1.046344067,2013-Dec-07,7/12/13,26.323,0.482,0,0
1.4328,0.944408613,1.054036674,2013-Dec-06,6/12/13,26.426,0.505,0,0
1.4379,0.949124432,1.056776466,2013-Dec-05,5/12/13,26.384,0.384,0,0
1.4429,0.957176628,1.056834894,2013-Dec-04,4/12/13,26.551,0.471,0,0
1.448,0.960542767,1.052682219,2013-Dec-03,3/12/13,26.775,0.616,0,0
1.453,0.961757447,1.04605373,2013-Dec-02,2/12/13,26.689,0.451,0,0
1.4581,0.965881608,1.037720987,2013-Dec-01,1/12/13,26.46,0.142,0,0
1.4631,0.972296067,1.029545992,2013-Nov-30,30/11/13,26.747,0.351,0,0
1.4682,0.980549278,1.018923,2013-Nov-29,29/11/13,26.825,0.35,0,0
1.4732,0.981828638,1.005736763,2013-Nov-28,28/11/13,26.596,0.041,0,0
1.4783,0.981018214,0.995085858,2013-Nov-27,27/11/13,26.6,-0.034,0,0
1.4833,0.980100879,0.985085991,2013-Nov-26,26/11/13,26.49,-0.224,0,0
1.4883,0.97866801,0.977531394,2013-Nov-25,25/11/13,26.491,-0.302,0,0
1.4934,0.979603592,0.968668771,2013-Nov-24,24/11/13,26.685,-0.187,0,0
1.4984,0.983121069,0.96207734,2013-Nov-23,23/11/13,26.955,0.004,0,0
1.5035,0.985265295,0.957092843,2013-Nov-22,22/11/13,27.275,0.245,0,0
1.5085,0.98944957,0.947854702,2013-Nov-21,21/11/13,27.371,0.262,0,0
1.5136,0.99680127,0.94305454,2013-Nov-20,20/11/13,28.117,0.928,0,0
1.5186,1.002064572,0.940789997,2013-Nov-19,19/11/13,28.128,0.86,0,0
1.5237,1.009045209,0.944890115,2013-Nov-18,18/11/13,27.789,0.441,0,0
1.5287,1.015332003,0.947539045,2013-Nov-17,17/11/13,28.093,0.666,0,0
1.5338,1.024114523,0.949409337,2013-Nov-16,16/11/13,28.224,0.718,0,0
1.5388,1.030004232,0.951556275,2013-Nov-15,15/11/13,28.199,0.614,0,0
1.5438,1.031247288,0.955717068,2013-Nov-14,14/11/13,28.691,1.022,0,0
1.5489,1.03632503,0.960399636,2013-Nov-13,13/11/13,28.908,1.154,0,0
1.5539,1.039587952,0.970541488,2013-Nov-12,12/11/13,28.901,1.063,0,0
1.559,1.042460966,0.97852173,2013-Nov-11,11/11/13,29.291,1.369,0,0
1.564,1.044571715,0.985538932,2013-Nov-10,10/11/13,29.411,1.405,0,0
1.5691,1.047853826,0.993697843,2013-Nov-09,9/11/13,29.627,1.537,0,0
1.5741,1.049847604,1.000390733,2013-Nov-08,8/11/13,29.258,1.084,0,0
1.5792,1.050603262,1.007579997,2013-Nov-07,7/11/13,29.093,0.835,0,0
1.5842,1.053588648,1.018496284,2013-Nov-06,6/11/13,29.279,0.937,0,0
1.5893,1.057024952,1.026304481,2013-Nov-05,5/11/13,29.541,1.115,0,0
1.5943,1.061057674,1.034638575,2013-Nov-04,4/11/13,30.249,1.738,0,0
1.5993,1.067781749,1.041767779,2013-Nov-03,3/11/13,30.26,1.666,0,0
1.6044,1.075040233,1.047761858,2013-Nov-02,2/11/13,30.191,1.512,0,0
1.6094,1.079742527,1.053855876,2013-Nov-01,1/11/13,30.335,1.572,0,0
1.6145,1.082845623,1.055860471,2013-Oct-31,31/10/13,30.133,1.287,0,0
1.6195,1.084864029,1.058441844,2013-Oct-30,30/10/13,30.291,1.36,0,0
1.6246,1.085767344,1.061397387,2013-Oct-29,29/10/13,30.458,1.443,0,0
1.6296,1.089976521,1.054096521,2013-Oct-28,28/10/13,30.8,1.701,0,0
1.6347,1.093823158,1.050074428,2013-Oct-27,27/10/13,30.742,1.559,0,0
1.6397,1.0908213,1.051993467,2013-Oct-26,26/10/13,30.835,1.568,0,0
1.6448,1.089815557,1.047680653,2013-Oct-25,25/10/13,30.883,1.532,0,0
1.6498,1.090107589,1.045975419,2013-Oct-24,24/10/13,30.42,0.985,0,0
1.6548,1.091663998,1.045344597,2013-Oct-23,23/10/13,30.408,0.889,0,0
1.6599,1.093854102,1.051089684,2013-Oct-22,22/10/13,31.014,1.41,0,0
1.6649,1.098855341,1.057519675,2013-Oct-21,21/10/13,31.082,1.394,0,0
1.67,1.103667177,1.064162735,2013-Oct-20,20/10/13,31.045,1.273,0,0
1.675,1.10823852,1.0743113,2013-Oct-19,19/10/13,31.103,1.247,0,0
1.6801,1.110253239,1.085752293,2013-Oct-18,18/10/13,31.178,1.238,0,0
1.6851,1.112155468,1.098406398,2013-Oct-17,17/10/13,31.205,1.181,0,0
1.6902,1.115443584,1.105380788,2013-Oct-16,16/10/13,31.234,1.126,0,0
1.6952,1.116670783,1.112185373,2013-Oct-15,15/10/13,31.114,0.922,0,0
1.7002,1.120591066,1.121759208,2013-Oct-14,14/10/13,31.194,0.979,0,0
1.7053,1.122141446,1.128667972,2013-Oct-13,13/10/13,31.335,1.096,0,0
