Date,date1,SST,SST_Anomaly,HotSpot,DHW
2012-Sep-06,6/9/12,30.793,-0.303,0,1.566
2012-Sep-07,7/9/12,30.391,-0.674,0,1.566
2012-Sep-08,8/9/12,30.625,-0.41,0,1.566
2012-Sep-09,9/9/12,31.288,0.282,0,1.566
2012-Sep-10,10/9/12,31.298,0.322,0,1.566
2012-Sep-11,11/9/12,,,,1.566
2012-Sep-12,12/9/12,,,,1.566
2012-Sep-13,13/9/12,31.362,0.476,0,1.566
2012-Sep-14,14/9/12,32.032,1.176,0,1.566
2012-Sep-15,15/9/12,32.231,1.405,0.143,1.566
2012-Sep-16,16/9/12,32.198,1.41,0.11,1.566
2012-Sep-17,17/9/12,31.638,0.887,0,1.566
2012-Sep-18,18/9/12,30.857,0.144,0,1.566
2012-Sep-19,19/9/12,30.793,0.117,0,1.566
2012-Sep-20,20/9/12,30.586,-0.052,0,1.566
2012-Sep-21,21/9/12,30.704,0.104,0,1.566
2012-Sep-22,22/9/12,30.876,0.313,0,1.566
2012-Sep-23,23/9/12,31.569,1.044,0,1.566
2012-Sep-24,24/9/12,32.066,1.578,0,1.394
2012-Sep-25,25/9/12,31.861,1.411,0,1.171
2012-Sep-26,26/9/12,31.911,1.499,0,1.009
2012-Sep-27,27/9/12,31.776,1.401,0,1.009
2012-Sep-28,28/9/12,31.791,1.454,0,1.009
2012-Sep-29,29/9/12,31.78,1.48,0,1.009
2012-Sep-30,30/9/12,31.698,1.436,0,1.009
2012-Oct-01,1/10/12,31.497,1.273,0,1.009
2012-Oct-02,2/10/12,31.573,1.386,0,1.009
2012-Oct-03,3/10/12,31.08,0.93,0,1.009
2012-Oct-04,4/10/12,30.957,0.845,0,1.009
2012-Oct-05,5/10/12,31.156,1.082,0,1.009
2012-Oct-06,6/10/12,30.896,0.859,0,1.009
2012-Oct-07,7/10/12,31.206,1.207,0,1.009
2012-Oct-08,8/10/12,31.192,1.23,0,1.009
2012-Oct-09,9/10/12,31.064,1.14,0,1.009
2012-Oct-10,10/10/12,31.428,1.541,0,1.009
2012-Oct-11,11/10/12,31.116,1.267,0,1.009
2012-Oct-12,12/10/12,31.395,1.584,0,0.817
2012-Oct-13,13/10/12,31.4,1.626,0,0.817
2012-Oct-14,14/10/12,30.8,1.064,0,0.817
2012-Oct-15,15/10/12,30.227,0.528,0,0.817
2012-Oct-16,16/10/12,30.281,0.646,0,0.817
2012-Oct-17,17/10/12,29.794,0.225,0,0.817
2012-Oct-18,18/10/12,29.487,-0.019,0,0.817
2012-Oct-19,19/10/12,30.261,0.821,0,0.817
2012-Oct-20,20/10/12,31.104,1.728,0,0.817
2012-Oct-21,21/10/12,30.33,1.019,0,0.817
2012-Oct-22,22/10/12,30.127,0.88,0,0.625
2012-Oct-23,23/10/12,30.354,1.171,0,0.382
2012-Oct-24,24/10/12,30.336,1.218,0,0.194
2012-Oct-25,25/10/12,30.163,1.11,0,0.194
2012-Oct-26,26/10/12,29.892,0.903,0,0
2012-Oct-27,27/10/12,29.735,0.81,0,0
2012-Oct-28,28/10/12,29.988,1.128,0,0
2012-Oct-29,29/10/12,29.603,0.808,0,0
2012-Oct-30,30/10/12,29.395,0.664,0,0
2012-Oct-31,31/10/12,29.152,0.486,0,0
2012-Nov-01,1/11/12,29.201,0.6,0,0
2012-Nov-02,2/11/12,29.604,1.067,0,0
2012-Nov-03,3/11/12,29.365,0.892,0,0
2012-Nov-04,4/11/12,29.121,0.712,0,0
2012-Nov-05,5/11/12,29.162,0.819,0,0
2012-Nov-06,6/11/12,29.173,0.894,0,0
2012-Nov-07,7/11/12,29.116,0.902,0,0
2012-Nov-08,8/11/12,29.065,0.915,0,0
2012-Nov-09,9/11/12,29.04,0.955,0,0
2012-Nov-10,10/11/12,29.337,1.316,0,0
2012-Nov-11,11/11/12,29.301,1.345,0,0
2012-Nov-12,12/11/12,29.208,1.316,0,0
2012-Nov-13,13/11/12,28.566,0.739,0,0
2012-Nov-14,14/11/12,28.299,0.537,0,0
2012-Nov-15,15/11/12,28.534,0.836,0,0
2012-Nov-16,16/11/12,28.565,0.963,0,0
2012-Nov-17,17/11/12,27.879,0.374,0,0
2012-Nov-18,18/11/12,27.372,-0.037,0,0
2012-Nov-19,19/11/12,27.788,0.476,0,0
2012-Nov-20,20/11/12,27.12,-0.097,0,0
2012-Nov-21,21/11/12,27.378,0.258,0,0
2012-Nov-22,22/11/12,27.619,0.595,0,0
2012-Nov-23,23/11/12,27.568,0.641,0,0
2012-Nov-24,24/11/12,26.717,-0.113,0,0
2012-Nov-25,25/11/12,27.02,0.286,0,0
2012-Nov-26,26/11/12,27.36,0.722,0,0
2012-Nov-27,27/11/12,27.246,0.704,0,0
2012-Nov-28,28/11/12,26.885,0.44,0,0
2012-Nov-29,29/11/12,27.147,0.798,0,0
2012-Nov-30,30/11/12,25.952,-0.3,0,0
2012-Dec-01,1/12/12,26.354,0.198,0,0
2012-Dec-02,2/12/12,26.33,0.271,0,0
2012-Dec-03,3/12/12,26.154,0.191,0,0
2012-Dec-04,4/12/12,,,,0
2012-Dec-05,5/12/12,25.708,-0.063,0,0
2012-Dec-06,6/12/12,25.665,-0.009,0,0
2012-Dec-07,7/12/12,25.967,0.389,0,0
2012-Dec-08,8/12/12,26.065,0.583,0,0
2012-Dec-09,9/12/12,26.195,0.81,0,0
2012-Dec-10,10/12/12,25.865,0.576,0,0
2012-Dec-11,11/12/12,25.656,0.464,0,0
2012-Dec-12,12/12/12,25.396,0.301,0,0
2012-Dec-13,13/12/12,24.647,-0.353,0,0
2012-Dec-14,14/12/12,25.326,0.423,0,0
2012-Dec-15,15/12/12,24.671,-0.136,0,0
2012-Dec-16,16/12/12,24.505,-0.256,0,0
2012-Dec-17,17/12/12,24.698,-0.018,0,0
2012-Dec-18,18/12/12,25.034,0.363,0,0
2012-Dec-19,19/12/12,24.635,0.01,0,0
2012-Dec-20,20/12/12,24.55,-0.03,0,0
2012-Dec-21,21/12/12,24.87,0.335,0,0
2012-Dec-22,22/12/12,24.946,0.456,0,0
2012-Dec-23,23/12/12,24.938,0.494,0,0
2012-Dec-24,24/12/12,25.191,0.792,0,0
2012-Dec-25,25/12/12,25.096,0.742,0,0
2012-Dec-26,26/12/12,24.962,0.654,0,0
2012-Dec-27,27/12/12,24.42,0.157,0,0
2012-Dec-28,28/12/12,23.772,-0.446,0,0
2012-Dec-29,29/12/12,24.21,0.037,0,0
2012-Dec-30,30/12/12,24.173,0.046,0,0
2012-Dec-31,31/12/12,24.261,0.179,0,0
2013-Jan-01,1/1/13,24.078,0.041,0,0
2013-Jan-02,2/1/13,23.871,-0.12,0,0
2013-Jan-03,3/1/13,23.805,-0.141,0,0
2013-Jan-04,4/1/13,23.732,-0.168,0,0
2013-Jan-05,5/1/13,24.045,0.19,0,0
2013-Jan-06,6/1/13,24.109,0.3,0,0
2013-Jan-07,7/1/13,24.329,0.564,0,0
2013-Jan-08,8/1/13,23.718,-0.002,0,0
2013-Jan-09,9/1/13,24.168,0.494,0,0
2013-Jan-10,10/1/13,23.441,-0.188,0,0
2013-Jan-11,11/1/13,24.6,1.017,0,0
2013-Jan-12,12/1/13,23.529,-0.009,0,0
2013-Jan-13,13/1/13,23.292,-0.2,0,0
2013-Jan-14,14/1/13,23.382,-0.065,0,0
2013-Jan-15,15/1/13,23.42,0.019,0,0
2013-Jan-16,16/1/13,23.239,-0.135,0,0
2013-Jan-17,17/1/13,23.214,-0.133,0,0
2013-Jan-18,18/1/13,23.46,0.14,0,0
2013-Jan-19,19/1/13,23.603,0.311,0,0
2013-Jan-20,20/1/13,23.798,0.533,0,0
2013-Jan-21,21/1/13,22.923,-0.314,0,0
2013-Jan-22,22/1/13,23.43,0.22,0,0
2013-Jan-23,23/1/13,23.381,0.198,0,0
2013-Jan-24,24/1/13,23.22,0.065,0,0
2013-Jan-25,25/1/13,23.253,0.125,0,0
2013-Jan-26,26/1/13,23.418,0.318,0,0
2013-Jan-27,27/1/13,23.252,0.179,0,0
2013-Jan-28,28/1/13,24.493,1.448,0,0
2013-Jan-29,29/1/13,23.696,0.678,0,0
2013-Jan-30,30/1/13,23.953,0.962,0,0
2013-Jan-31,31/1/13,23.162,0.199,0,0
2013-Feb-01,1/2/13,23.045,0.109,0,0
2013-Feb-02,2/2/13,22.626,-0.283,0,0
2013-Feb-03,3/2/13,23.06,0.179,0,0
2013-Feb-04,4/2/13,22.914,0.06,0,0
2013-Feb-05,5/2/13,23.245,0.418,0,0
2013-Feb-06,6/2/13,23.468,0.669,0,0
2013-Feb-07,7/2/13,23.421,0.649,0,0
2013-Feb-08,8/2/13,23.228,0.484,0,0
2013-Feb-09,9/2/13,22.839,0.123,0,0
2013-Feb-10,10/2/13,23.316,0.627,0,0
2013-Feb-11,11/2/13,23.058,0.396,0,0
2013-Feb-12,12/2/13,23.324,0.69,0,0
2013-Feb-13,13/2/13,23.18,0.573,0,0
2013-Feb-14,14/2/13,23.465,0.885,0,0
2013-Feb-15,15/2/13,23.311,0.759,0,0
2013-Feb-16,16/2/13,23.531,0.976,0,0
2013-Feb-17,17/2/13,23.401,0.843,0,0
2013-Feb-18,18/2/13,23.134,0.574,0,0
2013-Feb-19,19/2/13,23.42,0.857,0,0
2013-Feb-20,20/2/13,23.463,0.898,0,0
2013-Feb-21,21/2/13,23.482,0.914,0,0
2013-Feb-22,22/2/13,22.956,0.385,0,0
2013-Feb-23,23/2/13,23.279,0.705,0,0
2013-Feb-24,24/2/13,22.782,0.206,0,0
2013-Feb-25,25/2/13,22.771,0.192,0,0
2013-Feb-26,26/2/13,22.79,0.208,0,0
2013-Feb-27,27/2/13,23.259,0.674,0,0
2013-Feb-28,28/2/13,23.327,0.74,0,0
2013-Mar-01,1/3/13,23.743,1.153,0,0
2013-Mar-02,2/3/13,24.061,1.469,0,0
2013-Mar-03,3/3/13,24.219,1.624,0,0
2013-Mar-04,4/3/13,24.765,2.167,0,0
2013-Mar-05,5/3/13,24.228,1.628,0,0
2013-Mar-06,6/3/13,24.022,1.419,0,0
2013-Mar-07,7/3/13,24.505,1.899,0,0
2013-Mar-08,8/3/13,24.122,1.514,0,0
2013-Mar-09,9/3/13,23.939,1.327,0,0
2013-Mar-10,10/3/13,23.861,1.247,0,0
2013-Mar-11,11/3/13,23.998,1.381,0,0
2013-Mar-12,12/3/13,23.839,1.22,0,0
2013-Mar-13,13/3/13,24.17,1.548,0,0
2013-Mar-14,14/3/13,24.735,2.11,0,0
2013-Mar-15,15/3/13,25.1,2.472,0,0
2013-Mar-16,16/3/13,24.969,2.254,0,0
2013-Mar-17,17/3/13,25.326,2.523,0,0
2013-Mar-18,18/3/13,25.385,2.495,0,0
2013-Mar-19,19/3/13,25.413,2.434,0,0
