"colony","year","Site","track","sample","height","dia","StavR","WtavR","WtsdR","StsdR","winSlope","sumSlope","ccoldday","warmday","WcsavR","WcssdR","ScsavR","ScssdR","cummu_dhwm","cummu_dcwm","gulf","density","count95","count90","count10","count05","Bheight"
"ras12",2002,"RasGhanada","t2","ras12_t2",12,16,34.1237704918033,21.1455737704918,0.786711562116137,0.447754262717197,0.0902982261184509,-0.0545007202535292,38,312,0.128475409836066,0.0760369661321336,0.0715573770491803,0.0419426293048667,13.6870381231672,0,"gulf",1.479851922,25,54,22,5,6.02645
"ras13",2002,"RasGhanada","t2","ras13_t2",8.5,23,34.1237704918033,21.1455737704918,0.786711562116137,0.447754262717197,0.0902982261184509,-0.0545007202535292,38,312,0.128475409836066,0.0760369661321336,0.0715573770491803,0.0419426293048667,13.6870381231672,0,"gulf",1.271181466,25,54,22,5,2.64245
"sad07",2002,"Saadiyat","t2","sad07_t2",10,17,33.9698360655738,20.8691803278689,0.771840430576958,0.419922579385291,0.0945343869613533,-0.0511983372432811,38,312,0.0976065573770492,0.0640201214953873,0.0711967213114754,0.043325827428964,0,-12.1104443609783,"gulf",1.586022325,20,46,33,7,2.4674
"sad08",2002,"Saadiyat","t1","sad08_t1",11,16,33.9698360655738,20.8691803278689,0.771840430576958,0.419922579385291,0.0945343869613533,-0.0511983372432811,38,312,0.0976065573770492,0.0640201214953873,0.0711967213114754,0.043325827428964,0,-12.1104443609783,"gulf",1.342315444,20,46,33,7,4.20545
"sad08",2002,"Saadiyat","t2","sad08_t2",11,16,33.9698360655738,20.8691803278689,0.771840430576958,0.419922579385291,0.0945343869613533,-0.0511983372432811,38,312,0.0976065573770492,0.0640201214953873,0.0711967213114754,0.043325827428964,0,-12.1104443609783,"gulf",1.363195407,20,46,33,7,4.20545
"sad12",2002,"Saadiyat","t1","sad12_t1",9,16,33.9698360655738,20.8691803278689,0.771840430576958,0.419922579385291,0.0945343869613533,-0.0511983372432811,38,312,0.0976065573770492,0.0640201214953873,0.0711967213114754,0.043325827428964,0,-12.1104443609783,"gulf",1.598610949,20,46,33,7,2.8398
"sad13",2002,"Saadiyat","t2","sad13_t2",5,15,33.9698360655738,20.8691803278689,0.771840430576958,0.419922579385291,0.0945343869613533,-0.0511983372432811,38,312,0.0976065573770492,0.0640201214953873,0.0711967213114754,0.043325827428964,0,-12.1104443609783,"gulf",1.488697269,20,46,33,7,1.0647
"sad15",2002,"Saadiyat","t1","sad15_t1",14,22,33.9698360655738,20.8691803278689,0.771840430576958,0.419922579385291,0.0945343869613533,-0.0511983372432811,38,312,0.0976065573770492,0.0640201214953873,0.0711967213114754,0.043325827428964,0,-12.1104443609783,"gulf",1.751769477,20,46,33,7,5.47
"sad15",2002,"Saadiyat","t2","sad15_t2",14,22,33.9698360655738,20.8691803278689,0.771840430576958,0.419922579385291,0.0945343869613533,-0.0511983372432811,38,312,0.0976065573770492,0.0640201214953873,0.0711967213114754,0.043325827428964,0,-12.1104443609783,"gulf",1.564934364,20,46,33,7,5.47
"ala10",2003,"AlAqah","t1","ala10_t1",8.5,18,31.9211475409836,23.1155737704918,0.306227173789677,0.821695601303905,0.0552400707906327,-0.0250495946001563,29,254,0.128491803278689,0.0679302639846727,0.132622950819672,0.0755425186974034,0,-12.4144444765469,"oman",1.9203711,0,0,0,0,2.8695
"ala10",2003,"AlAqah","t2","ala10_t2",8.5,18,31.9211475409836,23.1155737704918,0.306227173789677,0.821695601303905,0.0552400707906327,-0.0250495946001563,29,254,0.128491803278689,0.0679302639846727,0.132622950819672,0.0755425186974034,0,-12.4144444765469,"oman",1.603888582,0,0,0,0,2.8695
"ala12",2003,"AlAqah","t1","ala12_t1",13.5,23,31.9211475409836,23.1155737704918,0.306227173789677,0.821695601303905,0.0552400707906327,-0.0250495946001563,29,254,0.128491803278689,0.0679302639846727,0.132622950819672,0.0755425186974034,0,-12.4144444765469,"oman",1.262105586,0,0,0,0,7.4785
"ala12",2003,"AlAqah","t2","ala12_t2",13.5,23,31.9211475409836,23.1155737704918,0.306227173789677,0.821695601303905,0.0552400707906327,-0.0250495946001563,29,254,0.128491803278689,0.0679302639846727,0.132622950819672,0.0755425186974034,0,-12.4144444765469,"oman",1.167325668,0,0,0,0,7.4785
"del09",2003,"Delma","t1","del09_t1",6,15,34.134262295082,20.2952459016393,0.356471628405296,0.565910649650612,0.0585079639461662,-0.0803782359962135,29,323,0.0781311475409836,0.0449631239312973,0.0649016393442623,0.0290406065811493,38.6695249266861,0,"gulf",1.245684738,30,41,59,23,1.6182
"del09",2003,"Delma","t2","del09_t2",6,15,34.134262295082,20.2952459016393,0.356471628405296,0.565910649650612,0.0585079639461662,-0.0803782359962135,29,323,0.0781311475409836,0.0449631239312973,0.0649016393442623,0.0290406065811493,38.6695249266861,0,"gulf",1.759098379,30,41,59,23,1.6182
"del20",2003,"Delma","t1","del20_t1",9,14,34.134262295082,20.2952459016393,0.356471628405296,0.565910649650612,0.0585079639461662,-0.0803782359962135,29,323,0.0781311475409836,0.0449631239312973,0.0649016393442623,0.0290406065811493,38.6695249266861,0,"gulf",1.176751063,30,41,59,23,3.13745
"del20",2003,"Delma","t2","del20_t2",9,14,34.134262295082,20.2952459016393,0.356471628405296,0.565910649650612,0.0585079639461662,-0.0803782359962135,29,323,0.0781311475409836,0.0449631239312973,0.0649016393442623,0.0290406065811493,38.6695249266861,0,"gulf",0.893740279,30,41,59,23,3.13745
"dib04",2003,"Dibba","t1","dib04_t1",14,28,31.8508196721311,23.0572131147541,0.284594045074389,0.786206705394044,0.0511215376383917,-0.0266920195908961,29,254,0.137245901639344,0.0701476195219065,0.129049180327869,0.0666039103530486,12.4729970674487,0,"oman",1.181346408,0,0,0,0,7.5698
"dib04",2003,"Dibba","t2","dib04_t2",14,28,31.8508196721311,23.0572131147541,0.284594045074389,0.786206705394044,0.0511215376383917,-0.0266920195908961,29,254,0.137245901639344,0.0701476195219065,0.129049180327869,0.0666039103530486,12.4729970674487,0,"oman",1.153839779,0,0,0,0,7.5698
"ras04",2003,"RasGhanada","t1","ras04_t1",7.5,14,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.464523537,2,33,24,1,3.1106
"ras04",2003,"RasGhanada","t2","ras04_t2",7.5,14,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.351073311,2,33,24,1,3.1106
"ras11",2003,"RasGhanada","t1","ras11_t1",11,14,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.105626309,2,33,24,1,4.1561
"ras11",2003,"RasGhanada","t2","ras11_t2",11,14,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.414951344,2,33,24,1,4.1561
"ras12",2003,"RasGhanada","t1","ras12_t1",12,16,33.6872131147541,21.0596721311475,0.550517838684981,0.425182827920495,0.0726702061982961,-0.0937485286249331,29,330,0.123311475409836,0.0861602268999656,0.0780491803278689,0.0420663865136636,0,0,"gulf",1.486018032,2,33,24,1,6.3922
